Title,Date,Description,Link,Image
No title,"March 01 ,2023 by
                    Usthb","شريك العزيز،

إنه لمن دواعي سرورنا أن ندعوكم للمشاركة في النسخة الخامسة والعشرين من المعرض الدولي للبناء ومواد البناء والأشغال العامة BATIMATEC ، الذي سيعقد في الفترة من 07 إلى 11 مايو 2023 في  مركز المعارض SAFEX في  الصنوبر البحري ، الجزائر العاصمة.

يجمع معرض BATIMATEC بين المتخصصين في مجال البناء والأشغال العامة لمدة خمسة أيام. القطاعات الرئيسية
من الأنشطة هي:

الإسكان والبناء
مواد بناء
معدات وأدوات البناء
معدات السلامة
طرق وشبكات مختلفة
خدمات","/news/25th-international-building,-building-materials-and-public-works-exhibition",https://www.usthb.dz//storage/news/thumbnail/74y1FCMBVF0YQSyCOOnFwWV8eh8JnZYNSyY7g8eF.png
No title,"March 15 ,2023 by
                    Usthb","تطبيقًا لتعليمات السيّد الوزير، وتكريسًا لمسعى الرَّقمنة في تحسين التكفّل بانشغالات مرتفِقي التعليم العالي والبحث العلمي، لاسيما أعضاء الأسرة الجامعية، أبلغكم أنّه قد تمّ إعداد منصّة رقمية لإيداع العرائض ومعالجتها ومتابعتها، تفضَّل السيّد الوزير بالإشراف على إطلاقِها الرَّسمي يوم الاثنين 2 جانفي 2023.
تتيحُ هذه الأرضية تقديم العريضة إلى كلّ المستويات الإدارية على مستوى القطاع، من إدارة مركزية ومؤسّسات، كما تمكّن المواطن من المتابعة الآنية لمسار عريضته ونتائج معالجتها في أجل ثمانية وأربعين (48) ساعة، من جهة، وتمكّن السّلطة السلّمية الأعلى من الاطّلاع على مدى التكفّل بالعرائض من طرف الهيئات أو الوحدات التابعة لها، من جهة أخرى.
وعليه، أطلب منكم اتّخاذ مجمل التدابير اللَّازمة التي تسمح بالاستعمال الحسن والأمثل لهذه المنصّة، والإيعاز إلى مصالحكم، باختلاف مستوياتها، بضمان العمل بها ومعالجة ما يودَعُ فيها من عرائض ومتابعتها وفقًا للآجال والتطبيقات التي تتيحُها.
وللبيان، فإنَّ المنصَّة مدعّمةٌ بدليلَيْ استعمال، ويتمُّ الولوج إليها عبر الرابطيْن التَّاليين:

 رابط الولوج للمنصّة من طرف الإدارة: https://progres.mesrs.dz/rdvdoleance-private/
رابط الولوج للمنصّة من طرف المُرتَفِق: https://progres.mesrs.dz/rdvdoleance/",/news/إطلاق-منصّة-رّقمية-للعرائض,https://www.usthb.dz//storage/news/thumbnail/dle52ry3jWppBSlJc1CIH8o5mH10UHfpb4uuJTui.png
No title,"March 15 ,2023 by
                    Usthb","Dans le cadre de l'opération de recensement des titulaires des Diplômes de Doctorat et de Magister de l'USTHB non salariés ou salariés hors secteur MESRS, nous invitons l'ensemble des concernés à remplir le formulaire dédié à cet effet et ce à travers le lien suivant:https://ent.usthb.dz/Recensement_diplomes_usthb/",/news/Recensement-des-Diplômés-en-Doctorat-et-Magister-de-l'USTHB,https://www.usthb.dz//storage/news/thumbnail/YDGRhSoYr0v5GqDA00lrxyxC48UPSMWgF1eEYCAA.jpg
No title,"March 15 ,2023 by
                    Usthb","طبيقا لتعليمات السيد وزير التعليمتطبيقا لتعليمات السيد وزير التعليمالعالي والبحث العلمي, والمتعلقة بإحصاءالمواطنين الحاملين لشهادة الماجستير أوالدكتوراه, غير الموظفين بسلكي الأساتذةالمحاضرين أو الباحثين الدائمين.نضع تحت تصرفكم منصة وزارة التعليمالعالي والبحث العلمي لإحصاء حامليشهادة الدكتوراه التي يمكن التسجيل بهاعبر الرابط التاليhttp://alumni.mesrs.dz/التسجيلات مفتوحة الى غاية 20 يناير 2023z",/news/Recensement-des-citoyens-titulaires-d'un-Magister-ou-d'un-Doctorat,https://www.usthb.dz//storage/news/thumbnail/gv0NMPS5ygKLHiRLhAr3Uxf1c0hTT5428cLJbZ6B.jpg
No title,"March 15 ,2023 by
                    Usthb",Avis à la Communauté Universitaire de l'USTHB,/news/Avis-à-la-Communauté-Universitaire-de-l'USTHB,https://www.usthb.dz//storage/news/thumbnail/fQ2il3FyZ93PlBzHq5OMmpjoM3qBfTVav2GOl03J.jpg
No title,"March 15 ,2023 by
                    Usthb","Consultation NUM 10-23 relative au ""Maintenance de la climatisation centrale du Plateau Technique d'Analyse Physico-chimique de l'USTHB.
Consultation NUM 11-23 relative au ""Maintenance du groupe électrogène et du monte_charge du Plateau Technique d'Analyse Physico-chimique de l'USTHB.
Consultation NUM 12-23 relative au ""Maintenance du système de vidéosurveillance, remise en normes des installations électriques, contrôle d'accès, système anti-incendie du Plateau Technique d'Analyse Physico-chimique de l'USTHB.",/news/Avis-de-consultation,https://www.usthb.dz//storage/news/thumbnail/s0xlr5g7SvcZsMceWht5eEZZP26eMXiQjP9bLYnL.jpg
No title,"March 15 ,2023 by
                    Usthb","consultation 01/2023 relative à l'Aquisition avec installation et mise en service d'équipement pour le laboratoire de recherche bati dans l'environnement de l'USTHB
consultation 02/2023 relative à l'Aquisition avec installation et mise en service d'équipement pour le laboratoire de recherche Géo Environnement de l'USTHB
consultation 03/2023relative à l'Aquisition avec installation et mise en service d'équipement pour le laboratoire de recherche Ecologie Végétale et Environnement de l'USTHB",/news/avis-de-consultation-N°2,https://www.usthb.dz//storage/news/thumbnail/iiW528r0teaSL3ZlmIjdyAEO2QbGrFF1MnVUWojU.jpg
No title,"March 15 ,2023 by
                    Usthb",Bourses Arabie Saoudite,/news/عرض-منح-دراسية-للطلبة-غير-السعوديين-بجامعة-الملك-سعود-بالرياض,https://www.usthb.dz//storage/news/thumbnail/kdCypUwsbzEh8KFZWJieWReXYWsiOamexEOKS7cC.jpg
No title,"March 15 ,2023 by
                    Usthb","L’Institut Francophone International (IFI) de l’UniversitéNationale du Vietnam à Hanoi a le plaisir de vous informer de sonprogramme de bourses pour l’année académique 2023-2024 dont tous lesétudiants internationaux admis pourront bénéficier.Ces derniers auront accès à deux types de bourses. La première leurpermettra d’avoir accès à un logement universitaire gratuit, quantà la seconde elle leur permettra de couvrir leurs frais de nourrituremensuels. Ce programme de bourse est proposé pour les formationssuivantes :·         Master en Informatique [1]·         Master Banking & Finance [2]·         Master en Communication [3]N’hésitez pas à cliquer sur les liens si vous souhaitez avoir plusd’informations concernant lesdites formations.Voici un lien vous permettant d’en apprendre un peu plus sur l’IFI :https://youtu.be/9tmHFb8Hkt0 [4].",/news/Programme-de-bourses-IFI-2023-2024,https://www.usthb.dz//storage/news/thumbnail/9TjZPk1gcdybtOkjHPPcnaNQc1ZtUjK9G3YvbcfH.jpg
No title,"March 15 ,2023 by
                    Usthb","Avis d'infructuosité relatifs aux avis de consultation suivants:
22/USTHB/2225/USTHB/2226/USTHB/2227/USTHB/22
avis d'infructuosité.pdf",/news/Avis-d'infructuosité,https://www.usthb.dz//storage/news/thumbnail/bTBcNXFCyk0x57uGII1de8RYNeM9z6G0GFcXa1RE.jpg
