Field of Study,Program Name,Program URL,Degree Type
علوم اقتصادية و التسيير و علوم تجارية/علوم تجارية,تسويق الخدمات,Https://univ-khenchela.com/help/get.php?p=01833&tk=%D9%85%D8%A7%D8%B3%D8%AA%D8%B1%20%D8%AA%D8%B3%D9%88%D9%8A%D9%82%20%D8%A7%D9%84%D8%AE%D8%AF%D9%85%D8%A7%D8%AA.pdf,ماستر أكاديمي
علوم اقتصادية و التسيير و علوم تجارية/علوم التسيير,إدارة أعمال,Https://univ-khenchela.com/help/get.php?p=01833&tk=%D9%85%D8%A7%D8%B3%D8%AA%D8%B1%20%D8%A7%D8%AF%D8%A7%D8%B1%D8%A9%20%D8%A7%D9%84%D8%A7%D8%B9%D9%85%D8%A7%D9%84.pdf,ماستر أكاديمي
علوم اقتصادية و التسيير و علوم تجارية/علوم اقتصادية,اقتصاد نقدي و مالي,https://univ-khenchela.com/explore/get.php?p=01833&tk=%D9%85%D8%A7%D8%B3%D8%AA%D8%B1%20%D8%A7%D9%82%D8%AA%D8%B5%D8%A7%D8%AF%20%D9%86%D9%82%D8%AF%D9%8A%20%D9%88%D8%A8%D9%86%D9%83%D9%8A.pdf,أكاديمي
رياضيات وإعلام ألي/إعلام ألي,الذكاء الاصطناعي,Https://univ-khenchela.com/help/get.php?p=063&tk=fiche-identit%C3%A9-IA.pdf,أكاديمي
علوم الطبيعة و الحياة/علوم زراعية,زراعة الأشجار المثمرة –زراعة التفاح-,Https://univ-khenchela.com/explore/get.php?p=01830&tk=Fruit%20growing%20-%20apple%20growing.pdf,مهني
العلوم الإنسانية و الاجتماعية/علوم اجتماعية- علم الاجتماع,علم الاجتماع التنظيم و العمل,Https://univ-khenchela.com/help/get.php?p=01834&tk=%D8%B9%D9%84%D9%85%20%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%20%D8%A7%D9%84%D8%AA%D9%86%D8%B8%D9%8A%D9%85%20%D9%88%20%D8%A7%D9%84%D8%B9%D9%85%D9%84%20%D9%85%D8%A7%D8%B3%D8%AA%D8%B1.pdf,أكاديمي
العلوم الإنسانية و الاجتماعية/علوم اجتماعية- علم الاجتماع,علم الاجتماع الحضري,Https://univ-khenchela.com/help/get.php?p=01834&tk=%D8%B9%D9%84%D9%85%20%D8%A7%D9%84%D8%A7%D8%AC%D8%AA%D9%85%D8%A7%D8%B9%20%D8%A7%D9%84%D8%AD%D8%B6%D8%B1%D9%8A%20%D9%85%D8%A7%D8%B3%D8%AA%D8%B1%20%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A.pdf,أكاديمي
العلوم الإنسانية و الاجتماعية/علوم اجتماعية- علم السكان,التخطيط الديموغرافي و التنمية,,أكاديمي
العلوم الإنسانية و الاجتماعية/علوم اجتماعية- علم النفس,علم النفس الصحة,Https://univ-khenchela.com/help/get.php?p=01834&tk=%D8%B9%D9%84%D9%85%20%D8%A7%D9%84%D9%86%D9%81%D8%B3%20%D8%A7%D9%84%D8%B5%D8%AD%D8%A9%20%D9%85%D8%A7%D8%B3%D8%AA%D8%B1%20%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A.pdf,أكاديمي
العلوم الإنسانية و الاجتماعية/علوم اجتماعية- فلسفة,فلسفة عامة,Https://univ-khenchela.com/help/get.php?p=01834&tk=%D9%81%D9%84%D8%B3%D9%81%D8%A9%20%D8%B9%D8%A7%D9%85%D8%A9%20%D9%85%D8%A7%D8%B3%D8%AA%D8%B1%20%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A.pdf,أكاديمي
العلوم الإنسانية و الاجتماعية/علوم إنسانية –علوم الإعلام و الاتصال,علوم الإعلام و الاتصال: السمعي البصري,,أكاديمي
العلوم الإنسانية و الاجتماعية/علوم إنسانية- تاريخ,تاريخ المقاومة و الحركة الوطنية الجزائرية,Https://univ-khenchela.com/help/get.php?p=01834&tk=%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE%20%D8%A7%D9%84%D9%85%D9%82%D8%A7%D9%88%D9%85%D8%A9%20%D9%88%20%D8%A7%D9%84%D8%AD%D8%B1%D9%83%D8%A9%20%D8%A7%D9%84%D9%88%D8%B7%D9%86%D9%8A%D8%A9%20%D8%A7%D9%84%D8%AC%D8%B2%D8%A7%D8%A6%D8%B1%D9%8A%D8%A9%20%D9%85%D8%A7%D8%B3%D8%AA%D8%B1%20%D8%A3%D9%83%D8%A7%D8%AF%D9%8A%D9%85%D9%8A.pdf,أكاديمي
الحقوق و العلوم السياسية/علوم سياسية,دراسات استراتيجية و أمنية,Https://univ-khenchela.com/help/get.php?p=01832&tk=%D9%85%D8%A7%D8%B3%D8%AA%D8%B1%20%D8%AF%D8%B1%D8%A7%EF%BA%B3%EF%BA%8E%D8%AA%20%D8%A3%EF%BB%A3%EF%BB%A7%EF%AF%BE%EF%BA%94%20%D9%88%D8%A5%EF%BA%B3%EF%BA%97%D8%B1%D8%A7%EF%BA%97%EF%AF%BE%EF%BA%9F%EF%AF%BE%EF%BA%94.pdf,أكاديمي
الحقوق و العلوم السياسية/الحقوق,القانون الخاص,Https://univ-khenchela.com/help/get.php?p=01832&tk=%D8%A7%EF%BB%9F%EF%BB%A3%EF%BA%8E%EF%BA%B3%EF%BA%97%D8%B1%20%EF%BA%97%EF%BA%A7%EF%BA%BB%D8%B5%20%D8%A7%EF%BB%9F%EF%BB%98%EF%BA%8E%EF%BB%A7%D9%88%D9%86%20%D8%A7%EF%BB%9F%EF%BA%A7%EF%BA%8E%D8%B5%20%D8%A7%EF%BB%9F%EF%BB%A3%EF%BB%8C%EF%BB%A3%EF%BB%96.pdf,أكاديمي
الحقوق و العلوم السياسية/الحقوق,ماسترالدولة و المؤسسات,Https://univ-khenchela.com/help/get.php?p=01832&tk=%D9%85%D8%A7%D8%B3%D8%AA%D8%B1%20%D8%AF%D9%88%D9%84%D8%A9%20%D9%88%20%D9%85%D8%A4%D8%B3%D8%B3%D8%A7%D8%AA.pdf,أكاديمي
الحقوق و العلوم السياسية/الحقوق,القانون الإداري,Https://univ-khenchela.com/help/get.php?p=01832&tk=%D9%85%D8%A7%D8%B3%D8%AA%D8%B1%20%D8%A7%D8%AF%D8%A7%D8%B1%D9%8A%20(2).pdf,أكاديمي
