Title,Date,Description,Link,Image
No title,2025-04-07,إعلان الاستشارة رقم 13-2025,/news/notice-of-consultation-no.13-2025,https://www.usthb.dz//storage/news/thumbnail/jfswhnuio6kKZdpbRZV1jHyhSbs9LXrroKfkg8br.png
No title,2025-04-06,تمديد آجال المشاركة في الطبعة الثالثة للمسابقة الوطنية الجامعية لأفلام الموبايل,/news/Extension-of-the-deadlines-for-the-third-edition-of-the-National-University-Mobile-Film-Competition,https://www.usthb.dz//storage/news/thumbnail/1tzWqa5JJ03aT9wGqveTy5XUsAdrJSi7r7FztYzo.png
No title,2025-04-06,"الطبعة الثانية للمسابقة الوطنية الجامعية للهاكاثون البيئة و الإستدامة
 
البطاقة التقنية",/news/Hackathon-ORAN-2.0-:-Environment-and-Sustainable-Development,https://www.usthb.dz//storage/news/thumbnail/I95IfdOEFixHXE6ZTDUrcEmXVFDFOYbzP9JXrS1h.png
No title,2025-03-29,برنامج منح اليونسكو وغينيا الاستوائية للباحثات الشابات في أفريقيا,/news/unesco-equatorial-guinea-fellowship-programme-for-young-women-scientists-in-africa,https://www.usthb.dz//storage/news/thumbnail/2ZeBjPhBZMrfj4hZGQ7FbXDiUPemvHdTmReh3MFS.png
No title,2025-03-28,فتح باب الترشح لجائزة شنقيط لعام 2025,/news/call-for-application-chinguitt-prize-2025,https://www.usthb.dz//storage/news/thumbnail/xSFoWY71wZROm0UqFcSi74aRJ0Xv0hjHPkxWZOAo.png
No title,2025-03-28,دعوة لتقديم الترشيحات لجائزة اليونسكو وغينيا الاستوائية الدولية للبحوث في علوم الحياة,/news/call-for-nominations-for-the-unesco-equatorial-guinea-international-prize-for-research-in-the-life-sciences,https://www.usthb.dz//storage/news/thumbnail/iLBuZ3aZlqbzdr3kRonBlXxwf6xJkmHV3yDprgeQ.png
No title,2025-03-27,الطبعة الأولى لجائزة رئيس الجمهورية للباحث المبتكر,/news/first-edition-of-the-president-of-the-republic's-prize-for-innovative-researchers,https://www.usthb.dz//storage/news/thumbnail/Nk1rhIUBSx43oJKXZWS2YqWFRdHj3gXS2hJyc5Fs.png
No title,2025-03-27,مؤتمر التفاعلات البشرية مع البحر والساحل: وجهات نظر علمية واستراتيجية,/news/conference-anthropogenic-interactions-with-the-sea-and-the-coast:-scientific-and-strategic-perspectives,https://www.usthb.dz//storage/news/thumbnail/zgnEMxqPBMRZJIYErttrStIRJaC6xltQtc9IyIib.png
No title,2025-03-27,"دعوة لتقديم الطلبات لبرنامج المنح الدراسية
نبذة عن البرنامج
المزايا والأهلية والمتطلبات",/news/launch-of-a-call-for-applications-for-the-summer-research-fellowship-program-of-sabanci-university-and-the-presidency-of-turks-abroad-and-related-communities-(ytb),https://www.usthb.dz//storage/news/thumbnail/lARaXVMpzQnq7X3HkR6HQEHuSyHMZDeO1oTdXtC9.png
No title,2025-03-27,,/news/announcement-:-u-s-t-h-b-housing-commission-,https://www.usthb.dz//storage/news/thumbnail/slMkK16wxOESlzDDqEAIlgJSb86xCkY97bsU9W5i.jpg
No title,2025-03-26,إعلان الاستشارة رقم 10-2025,/news/notice-of-consultation-no.10-2025,https://www.usthb.dz//storage/news/thumbnail/BMF9l0A2a7W1JPjQNMDLU8fe85BRzjkjq8NJEWYD.png
No title,2025-03-26,إعلان الاستشارة رقم 11-2025,/news/notice-of-consultation-no.11-2025,https://www.usthb.dz//storage/news/thumbnail/qyVg5jywGlE88SpzjFZp4YoRzTvUGzwcVoYsJBxP.png
No title,2025-03-26,إعلان الاستشارة رقم 12-2025,/news/notice-of-consultation-no.12-2025,https://www.usthb.dz//storage/news/thumbnail/feKsfTDOSeNd9wbTvwG8ofPWCSFyFZc6cIPCSgwG.png
No title,2025-03-19,,/news/master's-degree-in-quantum-computing,https://www.usthb.dz//storage/news/thumbnail/pSJA7RBHfRr3FcvPvLcT40C0Jdt5tp7D6Cc8MdTz.png
No title,2025-03-19,,/news/provisional-award-notice-for-consultation-no.-09-2025-,https://www.usthb.dz//storage/news/thumbnail/CLYfUMvbbrSWVjqHR8e9dsg6hQdabREJXYzv8QSr.jpg
No title,2025-03-19,,/news/provisional-award-notice-for-consultation-no.-07-2025-,https://www.usthb.dz//storage/news/thumbnail/t6ew0Auy76rUk2ZXa8Ahln5kKdhgVCalFTNZqxzA.jpg
No title,2025-03-16,إعلان الاستشارة رقم 09-2025,/news/Notice-of-consultation-no.09-2025,https://www.usthb.dz//storage/news/thumbnail/MXUuTWqffQiQ20pHW7xsMZlIrDLjGySqXacOzpdm.png
No title,2025-03-13,إعلان الاستشارة رقم 08-2025,/news/notice-of-consultation-no.08-2025,https://www.usthb.dz//storage/news/thumbnail/pg71B6KQjqLmkhuCA8OLONLd9xytMp3hIWDCWBuJ.png
No title,2025-03-12,"دعوة لتقديم الطلبات ل ""Lata Mangeshkar & موسيقى »","/news/call-for-applications-for-the-""lata-mangeshkar-&-music-»",https://www.usthb.dz//storage/news/thumbnail/jf0EPJEJIFcvpc6m4uE92MShg3k6kzmtaFw91CZR.png
No title,2025-03-12,"الطبعة الأولى للأولمبياد الوطني الجامعي للرياضيات
 
البطاقة التقنية",/news/First-Edition-of-the-National-University-Mathematics-Olympiad,https://www.usthb.dz//storage/news/thumbnail/ubnKznTRepXqGpHWMWGlUCqfeqPOSzFuupsBQXfO.png
No title,2025-03-12,"دعوة لتقديم الطلبات لدورة اللغة ""InteRussia"" لعام 2025 في موسكو","/news/call-for-applications-for-the-2025-""interussia""-language-course-in-moscow",https://www.usthb.dz//storage/news/thumbnail/acaFCc63xXH2SxyM3Ak0XmL2ldaBko8QYtTKlX1I.png
No title,2025-03-12,"دعوة لتقديم طلبات ""الماستير و دكتوراه"" من جامعة عموم إفريقيا للعام الدراسي 2025","/news/call-for-applications-for-the-""master's-and-doctorate""-of-the-pan-african-university-for-the-2025-academic-year",https://www.usthb.dz//storage/news/thumbnail/5w6LNJUJJwMWeEb5ApHugkOY61ObK2ZFxb2lU352.jpg
No title,2025-03-10,إعلان الاستشارة رقم 07-2025,/news/notice-of-consultation-no.07-2025,https://www.usthb.dz//storage/news/thumbnail/5MYVD4t7Ox6l9pq1o76R0qq6ULoGhqdQyzsXfdCc.png
